,,Type,Rarity,Nickname,Where,When,How much,Zone,,Pot Size,Number of Leaves,Leaf 👀 
,Suculents,Opuntia monacata,0,Varigated Nopal,Plant Swap,8/29,8,0,,,,FALSE
Pothos,,,,,,,,,,,,
,Pothos,Marble Queen,0,Theo,Lowes,7/10,20,1,,6 inch,,FALSE
,Pothos,Marble Queen,0,Dora,Lowes,7/10,20,1,,6 inch,,FALSE
,Pothos,Brazil ,0,Brazil,Lowes,7/10,10,1,,Tripot,,FALSE
,Pothos,Manjula ,0,Manjuju,Lowes,7/10,10,1,,Tripot,,FALSE
,Pothos,Golden,0,Goldie 1,Lowes,8/13,7,1,,,,FALSE
,Pothos,Golden,0,Goldie 2,Lowes,8/13,7,Returned,,,,FALSE
,Pothos,Sunburst,0,Sunburst,Lowes,8/13,10,1,,,,FALSE
,Pothos,Neon,0,Neon,Lowes,9/1,8,3,,,,FALSE
,Pothos,???,0,NIchas,Nichas,9/5,Free,,Proplift,,,FALSE
,Pothos,,0,Albo,Lowes,9/12,10,,,,,FALSE
Ferns,,,,,,,,,,,,
,Ferns,Blue Oil Fern,0,Blueil,Rainbow Gardens,5/16,26,TBD,,6 inch,,FALSE
Fruiting,,,,,,,,,,,,
,Fruiting,Chile Piquin,0,Piquin,Rainbow Gardens,5/16,4,2.5,,6 inch,,FALSE
,Fruiting,Passion Vine,0,Passion,Rainbow Gardens,5/16,16,Wildzone,,7 inch,,FALSE
Misc,,,,,,,,,,,,
,Misc,Terrarium,0,Terrarium,Terrarium Plant House,7/3,100,TBD,,-,,FALSE
,Misc,ZZ Raven,0,Indoor,Lowes,8/21,7,3,,6 inch,,FALSE
,Misc,Dracaena,0,Twister,Lowes,8/21,7,TBD,,6 inch,,FALSE
,Misc,Dieffenbaccia Camille,0,Rescue,Lowes,8/21,10,Wildzone,,9 inch,,FALSE
,Misc,Tradescantia zebrina,0,Mothers Gift ,Mom,11/8/25,Free,Wildzone,,-,,FALSE
,Misc,Tradescantia (TBD),0,Shawnee,Shawn,6/6/25,Free,Wildzone,,-,,FALSE
,Misc,English Ivy,0,Pappas,Pappasitos,8/18,Free,2,Cutting,-,,FALSE
,Misc,ZZ Chameleon,0,Chameleon,Lowes,9/1,10,3,Onboarding,,,FALSE
,Misc,Epipremnum Cebu Blue Aurea,0,Blue Aurea,Plant Swap,8/29,Free,2.5,Onboarding,,,FALSE
,Misc,Epipremnum aureum,0,Shangri La,Lowes,9/4,8.50,,,,,FALSE
,Misc,Selaginella uncinata,0,Peacock Moss,Cornelius,9/14,9.99,Terrarium,,,,FALSE
Syngonium,,,,,,,,,,,,
,Syngonium,Angustatum,0,Five Finger,ED Hunnington,8/7,25,2.5,Cutting,-,,FALSE
,Syngonium,Podophyllum,0,Arrowhead,Lowes,9/11,Free,,,,,FALSE
Alocasia,,,,,,,,,,,,
,Alocasia,Infernalis “Kapit”,0,Infernalis,Rainbow Gardens,8/7,25,2.5,Table,,,FALSE
,Alocasia,Zebrina,0,Tina,Rainbow Gardens,8/7,26.99 (Gift - Mom),Front,,,,FALSE
,Alocasia,Stingray,0,Stingray,Rainbow Gardens,8/7,17.99 (Gift - Jared),Bedroom,,,,FALSE
,Alocasia,Dragons Breath,0,Claire,Cornelius,8/14,22.99,Front,,,,FALSE
,Alocasia,Dragons Breath,0,Baby Breath,Corm,9/13,Free,,,,,FALSE
,Alocasia,Alocasia baginda,0,Dragon Scale,Lowes,9/1,22,4,Quarantine,,,FALSE
,Alocasia,Alocasia reginae,0,Regis,Lowes,9/1,8,4,Reset (Chop),,,FALSE
,Alocasia,Alocasia × amazonica ‘Polly’,0,Bruce Wayne II,Lowes,9/1,4,,,,,FALSE
,Alocasia,Alocasia × amazonica ‘Polly’,0,2 Corms,2 Corms,9/14,Free,,,,,FALSE
,Alocasia,Mint Longiloba,0,PP Longstocking,Plant Swap,8/29,free,2,Reset (Corm),,,FALSE
,Alocasia,Venom,0,Venom,Rainbow Gardens,9/6,42,,,,,FALSE
,Alocasia,Polly,0,Big Polly,HEB,9/29,15,,,,,FALSE
,Alocasia,Baginda,0,Silver Dragon,HEB,9/28,15,,,,,FALSE
(blank),,,,,,,,,,,,
